INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,Latitude,Longitude
322,Gedo,Luuq,Madiina,Shallow Well,Luuq,3.6798,42.587
323,Gedo,Luuq,Dhuyucley,Shallow Well,Luuq,3.7971,42.723
324,Gedo,Luuq,Kaahweyne,Shallow Well,Luuq,3.4725,42.3477
325,Gedo,Luuq,Hanooy,Shallow Well,Luuq,3.758625,42.542232
326,Gedo,Luuq,Quracley,Shallow Well,Luuq,3.758201,42.540366
327,Gedo,Luuq,Doiryaan,Shallow Well,Luuq,3.7456,42.5344
328,Gedo,Luuq,Maganeey,Shallow Well,Luuq,3.78235,42.7556
329,Gedo,Luuq,C qeyr,Shallow Well,Luuq,3.75423,42.5846
330,Gedo,Luuq,Luuq godeey,Shallow Well,Luuq,3.75862,42.46874
331,Gedo,Luuq,Luuq godeey 2,Shallow Well,Luuq,3.7452,42.4752
332,Gedo,Luuq,Garboolow ,Shallow Well,Luuq,3.7587,42.4785
333,Gedo,Luuq,Miiradhuubow ,Shallow Well,Luuq,3.7541,42.5472
334,Gedo,Luuq,Shiidle,Shallow Well,Luuq,3.7541,42.854
335,Gedo,Luuq,Qooneey,Shallow Well,Luuq,4.11025,42.11025
336,Gedo,Luuq,Qooneey,Shallow Well,Luuq,4.11025,42.63489
337,Gedo,Luuq,Cusbo,Shallow Well,Luuq,4.1021,42.1322
338,Gedo,Luuq,Boholgaras ,Shallow Well,Luuq,4.205699,42.440039
339,Gedo,Luuq,Boholgaras,Shallow Well,Luuq,3.7652,42.8547
340,Gedo,Luuq,Cakaaro,Shallow Well,Luuq,3.4874,42.7782
341,Gedo,Luuq,Dogob,Shallow Well,Luuq,3.47755,42.741
342,Gedo,Luuq,Lastiig,Shallow Well,Luuq,3.415,42.338
343,Gedo,Luuq,Balanbaala,Shallow Well,Luuq,3.414,42.328
344,Gedo,Luuq,Tada,Shallow Well,Luuq,3.7471,42.7414
